gene_id	C2UT01.1	C3UT02.1	C3UT02.2	C4UT03.1	C4UT03.2	C6TR01.1	C6TR01.2	C7TR02.1	C7TR02.2	C8TR03.1	C8TR03.2
MIR429	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	2	1	1	3	1	1	2	0	0	0
TTLL10	3	0	5	2	8	0	7	1	1	1	1
TNFRSF18	2	0	0	0	0	0	0	0	3	0	1
TNFRSF4	0	0	2	3	0	0	0	0	1	0	0
SDF4	4390	713	2420	761	3203	815	3290	981	3151	835	3467
B3GALT6	408	67	232	68	278	71	312	59	231	64	243
C1QTNF12	47	15	35	13	33	7	37	18	54	8	44
UBE2J2	574	97	347	96	404	110	483	115	426	96	428
LINC01786	70	6	34	16	46	12	37	15	49	7	27
SCNN1D	131	23	82	21	91	28	95	22	73	18	68
ACAP3	1485	303	820	305	1145	267	996	338	1064	261	1129
MIR6726	0	0	0	0	0	0	0	0	0	0	0
SNORD167	2	0	0	0	0	0	0	0	0	0	2
PUSL1	267	49	167	49	151	52	169	53	182	40	210
INTS11	959	169	608	162	724	153	771	198	630	156	728
MIR6727	0	0	0	0	0	0	0	0	0	0	0
CPTP	378	78	202	74	255	63	280	60	243	55	297
TAS1R3	7	1	1	0	3	3	1	1	3	0	3
DVL1	970	182	523	164	688	162	681	196	697	171	743
MIR6808	0	0	0	0	0	0	0	0	0	0	0
MXRA8	367	74	243	66	306	68	257	83	274	58	249
AURKAIP1	1799	298	836	224	938	284	1202	259	1025	209	1084
CCNL2	2999	593	1928	665	2549	586	2372	605	2144	484	2352
MRPL20-AS1	396	55	193	49	245	76	231	71	229	52	254
MRPL20	544	136	422	94	401	111	345	106	426	84	401
MRPL20-DT	121	15	57	17	61	17	72	14	59	11	62
ANKRD65	9	1	15	3	16	0	14	3	14	0	8
ANKRD65-AS1	1	0	0	1	0	0	8	0	0	0	3
TMEM88B	26	8	23	9	37	4	21	6	38	6	16
LINC01770	12	6	15	0	15	0	7	5	8	2	9
LOC107985729	3	1	6	0	4	1	1	0	2	3	1
VWA1	1215	190	509	182	802	197	785	210	698	216	853
ATAD3C	11	3	6	1	8	2	11	3	9	0	13
ATAD3B	681	139	395	113	469	123	519	132	429	111	495
ATAD3A	969	143	521	113	634	160	638	184	610	136	621
TMEM240	3	0	1	0	1	0	0	4	3	1	4
SSU72	1032	219	814	231	798	182	836	220	785	176	896
FNDC10	150	29	126	31	117	19	123	26	93	20	90
LOC105378586	0	0	4	2	2	0	0	0	1	2	0
MIB2	214	39	113	55	170	37	156	54	141	35	185
LOC124903821	29	2	7	2	14	0	14	8	20	3	16
MMP23B	5	0	2	1	7	3	2	2	2	2	7
CDK11B	613	120	376	115	502	109	521	137	476	101	502
SLC35E2B	415	66	263	100	384	89	303	99	318	76	343
MMP23A	3	0	2	1	1	1	6	0	3	0	0
CDK11A	505	105	303	107	441	88	411	124	415	90	428
SLC35E2A	587	145	473	122	683	132	494	138	501	100	499
LOC112268218	0	0	0	0	1	0	1	0	0	0	0
NADK	1038	205	659	213	784	183	822	232	785	195	787
GNB1	4157	946	3184	845	3534	819	3436	944	3131	784	3432
GNB1-DT	8	0	7	1	7	0	11	1	8	3	8
LOC124903822	4	0	1	2	8	0	3	1	7	2	3
CALML6	3	0	4	3	3	2	5	0	3	2	7
TMEM52	116	26	84	26	68	21	84	20	59	27	89
CFAP74	9	1	2	1	7	1	9	7	12	3	5
LOC107984872	0	0	0	0	2	0	1	0	0	0	0
LOC105378589	0	0	0	0	0	0	0	0	0	0	1
GABRD	4	1	0	0	0	1	0	0	0	2	0
LOC105378590	18	4	18	5	23	11	18	3	13	6	21
PRKCZ	847	168	635	153	820	237	742	197	696	179	801
PRKCZ-DT	0	0	0	4	3	0	0	0	4	0	1
PRKCZ-AS1	39	6	16	14	39	4	40	11	53	11	37
FAAP20	410	78	241	69	247	54	305	81	223	66	242
LOC112268219	42	9	24	7	32	11	27	15	16	3	32
LOC105378593	10	0	1	2	2	2	3	0	0	0	0
LOC124903823	0	0	0	0	0	0	1	0	0	0	2
SKI	892	187	618	231	896	172	816	209	707	168	773
LOC124903824	24	3	4	0	12	7	11	4	14	4	9
MORN1	41	7	30	12	48	20	49	13	58	11	37
LOC100129534	17	3	22	8	17	4	15	0	4	4	7
RER1	1105	246	694	210	842	227	896	245	790	207	892
PEX10	285	46	146	45	176	46	191	58	171	36	170
PLCH2	2	1	0	1	2	0	4	0	0	1	4
PANK4	0	0	0	0	0	0	0	0	0	0	0
HES5	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0	0	0	0	0	0
LOC100996583	0	0	0	0	0	0	0	0	0	0	0
PRXL2B	0	0	0	0	0	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	0	0
MMEL1-AS1	0	0	0	0	0	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0
LOC124903827	25	4	14	4	11	0	8	5	7	6	21
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0
PRDM16	107	11	72	29	127	22	81	36	98	29	104
MIR4251	0	0	0	0	0	0	0	0	0	0	0
LOC105378606	0	0	0	0	0	0	0	0	0	0	0
LOC107984909	42	3	21	5	26	6	27	9	17	9	35
LOC105378605	2	0	0	0	0	0	0	0	0	0	0
LOC124903828	14	2	9	0	9	9	17	2	7	0	7
LOC105378604	2	0	1	1	1	0	15	2	9	1	4
ARHGEF16	1010	189	597	195	769	160	762	227	689	165	819
MEGF6	296	44	173	55	242	54	265	73	238	56	225
LOC105378608	2	0	0	0	0	1	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	1624	344	1163	298	1100	299	1236	296	1057	312	1279
WRAP73	304	47	175	40	197	36	259	60	205	55	174
TP73	224	31	129	32	165	48	112	35	149	41	133
TP73-AS3	1	0	0	1	0	0	0	0	0	0	1
TP73-AS2	0	0	0	2	0	0	0	0	1	0	1
GFOD3P	0	0	1	0	2	0	0	0	2	0	0
CCDC27	10	1	4	0	7	2	7	0	3	0	1
SMIM1	152	16	63	21	68	10	62	18	60	19	68
LRRC47	1082	186	639	174	725	189	749	187	689	164	880
CEP104	400	118	344	103	376	92	323	93	392	81	412
LOC124903829	6	1	6	3	6	0	12	2	15	2	13
DFFB	108	16	62	14	63	13	82	21	65	17	80
C1orf174	224	70	204	50	225	81	211	69	229	50	225
LINC01134	15	3	14	4	24	5	23	7	16	3	20
LINC01346	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0
AJAP1	1	0	1	1	1	1	1	0	2	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	1
NPHP4	290	69	190	73	250	49	219	49	202	58	212
KCNAB2	430	98	326	74	394	97	414	122	308	97	417
LOC124903831	4	1	4	0	5	1	2	3	3	0	1
CHD5	3	0	3	1	8	0	7	0	9	0	11
RPL22	7381	1409	4403	1184	4997	1292	5243	1436	5105	1141	5183
RNF207-AS1	5	0	2	0	3	1	5	1	7	0	0
RNF207	223	44	129	53	207	47	179	55	190	40	189
ICMT	1782	332	1125	321	1277	320	1383	343	1254	278	1203
ICMT-DT	43	16	14	0	12	9	21	10	17	1	17
HES3	0	0	0	0	0	0	1	0	0	0	0
GPR153	95	31	72	29	101	19	108	36	93	17	89
ACOT7	2040	410	1188	304	1280	373	1435	405	1313	325	1340
HES2	14	0	0	4	7	0	6	3	8	2	7
ESPN	1286	227	731	217	1007	201	899	266	852	253	963
MIR4252	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	173	40	176	36	221	53	169	47	200	41	168
PLEKHG5	469	111	312	120	530	127	538	127	468	96	544
NOL9	293	82	222	67	272	88	252	60	195	50	240
TAS1R1	0	1	2	0	0	1	5	0	0	1	1
LOC107984912	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	262	56	156	39	252	67	208	56	175	64	199
KLHL21	496	89	263	61	427	87	358	104	377	99	384
LOC107984913	3	3	1	0	12	0	1	1	5	0	4
PHF13	468	93	282	78	363	97	367	88	285	88	323
THAP3	144	35	86	35	99	23	130	42	106	21	115
DNAJC11	601	130	404	109	480	115	478	118	452	87	424
LINC01672	0	0	0	0	0	0	0	0	1	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	18	4	7	0	6	1	7	0	4	4	5
CAMTA1	524	134	398	119	430	99	434	111	402	98	488
LOC124903832	2	2	3	4	4	4	4	0	11	2	8
CAMTA1-AS3	0	0	0	0	0	0	0	0	0	0	0
LOC124900385	0	0	0	0	1	2	0	0	0	0	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	1	0	0	1	0	0	0	0	0
LOC105376691	0	0	0	0	0	0	0	0	0	0	1
LOC105376689	108	30	82	26	130	21	101	29	116	34	97
VAMP3	2376	531	1735	427	1803	444	1854	501	1655	325	1589
PER3	871	201	628	178	699	137	715	162	618	125	623
LOC124903833	8	3	10	1	17	3	16	3	12	2	3
UTS2	13	4	8	0	5	5	16	4	16	4	14
TNFRSF9	27	9	12	12	26	9	23	10	31	10	43
PARK7	2486	423	1419	368	1582	379	1622	427	1449	386	1623
LOC124903834	21	0	9	6	5	0	13	2	16	1	7
ERRFI1	386	115	339	136	512	86	414	118	427	103	421
ERRFI1-DT	4	1	5	1	10	1	8	0	8	2	7
LOC107984915	0	0	0	0	0	0	0	0	0	0	0
LINC01714	0	0	0	0	0	0	0	1	1	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0
LOC124903835	0	0	0	0	1	0	2	0	2	0	1
SLC45A1	2	0	0	3	0	1	3	0	5	0	0
RERE	1817	440	1414	517	2000	446	1874	518	1830	379	1900
RERE-AS1	0	0	3	0	4	1	0	0	0	0	0
SNORD128	0	0	0	0	1	0	0	0	0	0	0
LOC124900452	0	0	0	0	0	0	0	0	0	0	0
ENO1	14169	2862	9136	2934	12019	3005	12060	3069	10769	2705	11389
MIR6728	0	0	0	0	0	0	0	0	0	0	0
ENO1-AS1	17	5	12	1	11	3	10	0	2	3	14
LOC112268261	2	1	3	0	4	0	5	1	2	0	2
CA6	1	0	0	0	0	0	0	0	0	0	0
SLC2A7	39	7	34	6	37	18	45	13	39	10	47
SLC2A5	4512	812	2624	952	3960	1002	3984	1063	3558	969	4437
LOC124900441	0	0	0	0	0	0	0	0	0	0	0
GPR157	888	191	591	266	1138	231	970	252	949	294	1219
MIR34AHG	219	38	162	50	196	43	146	37	129	15	122
MIR34A	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	2	3	2	0	8	0	1	3	6	1	5
H6PD	1546	325	1077	310	1249	334	1363	345	1161	276	1173
LOC124903836	3	0	1	0	1	1	4	1	3	0	3
SPSB1	577	111	361	112	430	92	484	111	442	93	431
LINC02606	6	0	4	0	3	0	6	1	0	0	4
SLC25A33	562	126	380	82	374	96	325	89	342	73	386
TMEM201	323	67	188	46	210	62	240	58	208	45	227
LOC124903837	0	0	0	0	2	0	5	1	1	0	0
PIK3CD	34	4	23	2	42	5	29	10	25	12	29
LOC105376712	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS2	15	6	7	4	15	3	9	6	11	4	8
LOC124903839	0	0	0	0	0	0	0	0	1	0	0
CLSTN1	3331	663	2231	734	3152	725	3362	830	2660	650	2812
CTNNBIP1	466	71	225	76	258	72	299	75	287	63	318
LOC105376717	1	0	0	0	0	0	0	0	0	0	0
LOC124903838	3	0	2	0	4	1	4	3	7	2	3
LZIC	1012	248	675	171	685	162	797	179	675	152	716
NMNAT1	223	45	136	50	144	49	186	54	142	38	182
TMEM274P	0	0	3	0	0	0	3	0	1	0	2
MIR5697	0	0	0	0	0	0	0	0	0	0	0
LOC124903840	0	0	0	0	0	0	0	0	0	0	0
RBP7	13	0	7	6	13	2	17	1	14	4	15
UBE4B	1346	329	1032	285	1349	274	1137	313	1123	228	1132
KIF1B	1647	451	1372	379	1800	416	1695	433	1532	359	1557
PGD	5104	1030	3316	897	3701	937	3747	972	3334	739	3329
CENPS-CORT	0	0	0	0	0	0	0	0	0	0	0
CENPS	9	0	2	0	3	0	6	2	5	1	3
CORT	4	1	1	0	6	0	1	0	1	0	0
DFFA	1948	446	1342	333	1450	373	1492	366	1224	281	1282
PEX14	349	62	207	80	300	68	318	85	247	60	254
CASZ1	262	55	157	52	272	65	265	51	229	59	255
LOC105376733	0	0	0	0	0	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0	0	0	1	0	1
C1orf127	1	0	0	0	1	0	0	0	0	0	0
TARDBP	2521	561	1760	498	2190	510	2116	521	1777	372	1945
MASP2	39	16	35	8	47	17	53	15	43	10	62
SRM	853	196	605	144	576	137	572	168	526	147	485
EXOSC10	1201	310	1000	248	908	205	984	301	926	213	885
EXOSC10-AS1	2	3	2	0	3	0	3	0	2	2	0
MTOR	1453	348	1137	342	1308	320	1355	352	1120	284	1127
MTOR-AS1	0	0	0	0	0	0	0	0	0	0	0
LOC124904848	0	0	0	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	1	0	0	0	0	0
UBIAD1	419	74	278	72	280	74	337	72	245	84	293
LOC105376737	0	0	0	0	0	0	0	0	0	0	0
LOC105376739	2	0	0	0	4	0	0	2	1	2	3
LOC105376740	0	0	0	0	0	0	2	0	0	0	1
LOC124903841	0	0	0	0	0	0	0	0	0	0	0
DISP3	5	4	11	3	15	1	10	3	16	1	5
LOC124903842	0	0	0	0	0	0	0	0	0	0	0
LINC01647	0	0	0	0	0	0	0	0	0	0	0
FBXO2	3401	560	1832	552	2387	625	2584	657	2425	638	2822
FBXO44	731	134	407	155	586	127	536	158	552	131	603
FBXO6	894	172	519	129	553	146	612	198	572	130	635
MAD2L2	687	114	364	113	411	120	443	134	445	104	401
DRAXIN	1	0	3	1	0	0	2	0	0	0	1
AGTRAP	483	78	241	70	271	101	326	81	296	52	318
C1orf167	5	4	0	0	1	1	3	0	7	0	2
C1orf167-AS1	0	0	0	1	2	0	0	0	1	0	2
MTHFR	628	133	426	114	538	133	524	133	476	108	549
CLCN6	510	115	416	145	627	134	500	151	494	111	518
NPPA-AS1	7	0	9	1	12	3	4	0	2	0	4
NPPA	11	2	11	3	12	2	15	0	17	0	12
NPPB	13	3	19	2	25	2	31	10	19	9	21
RNU5E-1	1	0	0	0	0	0	0	0	0	0	1
LOC124903843	3	0	6	0	1	0	2	0	4	0	0
KIAA2013	2604	476	1426	455	1700	472	1860	561	1685	433	1984
PLOD1	2573	531	1706	512	2230	539	2082	556	1799	480	2084
MFN2	4172	797	2751	732	3125	816	3370	891	2914	781	3183
MIIP	596	99	313	102	372	91	422	127	311	133	464
MIR6729	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	0	0	0	0	1	0	0	0	0	0	3
MIR7846	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	465	97	243	75	354	99	332	104	322	83	304
LOC124903844	3	0	2	1	2	1	0	0	1	0	0
MIR4632	0	0	0	0	0	0	0	0	0	0	0
VPS13D	937	210	711	224	925	213	944	256	812	195	763
LOC124903845	0	0	0	0	3	0	0	0	1	0	0
SNORA59A	2	0	6	1	5	1	3	4	3	2	1
LINC02766	3	1	3	1	0	0	4	1	4	0	2
DHRS3	1493	276	883	283	1194	265	1120	272	1003	250	1105
MIR6730	0	0	0	0	0	1	0	1	0	0	0
AADACL4	1	0	0	0	0	0	0	0	0	0	0
LOC124903846	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0
LOC124904811	0	0	0	0	0	0	0	0	0	0	0
CFAP107	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0
LOC102724856	0	0	0	0	0	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0
LOC105378612	0	0	0	0	0	0	0	0	0	0	0
LOC105376756	0	0	0	0	0	0	0	0	0	0	0
LOC124900446	0	0	0	0	0	0	0	0	0	0	0
PRDM2	473	121	356	88	390	125	407	113	389	102	345
KAZN	83	20	54	12	47	20	67	15	51	9	47
LOC107985467	2	3	1	0	0	0	2	2	0	0	0
LOC124903847	0	0	0	0	3	0	0	0	0	0	0
KAZN-AS1	3	0	0	0	0	0	0	0	0	0	0
LOC124903850	0	0	0	0	0	0	4	0	0	0	3
LOC105376759	0	0	0	0	0	0	0	0	0	0	0
LOC124903848	2	0	1	0	0	0	0	0	0	0	0
LOC107985469	0	0	0	0	0	0	0	0	0	0	0
LOC124903849	0	0	0	0	0	0	0	0	0	0	0
TMEM51-AS1	24	3	11	5	17	7	27	1	12	7	15
TMEM51	396	57	223	77	309	75	329	87	315	58	355
TMEM51-AS2	0	0	1	0	0	1	0	0	0	0	1
FHAD1	1	0	1	0	2	0	2	0	0	0	2
LOC124903853	0	0	0	0	0	0	0	0	0	0	0
LOC124903852	0	0	0	0	0	0	1	0	0	0	0
FHAD1-AS1	0	0	0	0	0	0	1	0	0	0	0
LOC124903851	0	0	0	0	0	0	0	0	0	0	0
EFHD2-AS1	1	0	0	0	1	0	3	1	2	0	1
EFHD2	825	146	506	152	546	128	566	153	585	132	660
CTRC	0	0	0	0	0	0	0	0	0	0	2
CELA2A	0	0	0	0	0	0	0	0	0	1	0
LOC105376767	0	0	0	0	0	3	0	0	0	0	0
CELA2B	0	0	6	0	0	3	7	1	4	0	4
CASP9	218	45	114	13	158	32	191	53	152	46	144
DNAJC16	466	112	370	110	398	96	410	89	302	75	408
SCARNA21B	0	0	0	0	0	0	0	0	0	0	0
AGMAT	2464	451	1557	356	1457	370	1636	456	1498	340	1558
LOC124903854	1	0	2	0	2	0	1	0	1	0	2
DDI2	1881	416	1414	347	1582	352	1561	451	1441	300	1426
RSC1A1	3	0	0	0	2	0	0	1	1	0	0
PLEKHM2	693	148	526	163	575	147	644	173	537	144	648
SLC25A34	10	1	11	3	15	1	4	2	12	0	7
SLC25A34-AS1	0	0	0	0	0	0	0	0	0	0	0
TMEM82	339	60	210	54	248	60	268	77	247	57	268
FBLIM1	244	23	97	43	160	43	204	54	177	47	167
UQCRHL	46	1	20	4	32	12	38	13	24	8	21
SPEN-AS1	58	13	45	8	34	6	26	14	40	4	34
SPEN	1183	326	881	318	1191	298	1219	308	1092	215	1122
LOC124904815	0	0	0	0	0	0	0	0	0	0	0
ZBTB17	280	38	192	72	206	53	201	65	214	79	217
LOC124903855	7	0	6	0	3	2	20	2	8	0	11
SRARP	1	1	5	0	4	1	3	1	0	0	0
HSPB7	0	0	0	0	0	0	1	0	1	0	2
CLCNKA	1	0	1	2	0	0	5	3	3	0	5
CLCNKB	0	0	0	0	3	0	0	0	0	0	0
FAM131C	7	2	7	1	17	0	5	1	8	5	19
EPHA2	495	89	305	83	451	102	483	158	458	109	430
EPHA2-AS1	41	12	30	2	47	10	64	13	60	14	25
ARHGEF19	0	0	0	0	0	0	0	0	0	0	0
ANO7L1	0	0	0	0	0	0	0	0	0	0	0
CPLANE2	0	0	0	0	0	0	0	0	0	0	0
FBXO42	0	0	0	0	0	0	0	0	0	0	0
SZRD1	0	0	0	0	0	0	0	0	0	0	0
SPATA21	0	0	0	0	0	0	0	0	0	0	0
NECAP2	0	0	0	0	0	0	0	0	0	0	0
LINC01772	0	0	0	0	0	0	0	0	0	0	0
CROCCP3	11	0	6	1	19	0	9	5	3	1	10
RNU1-1	0	0	0	0	0	0	0	0	0	0	0
TRN-GTT5-1	0	0	0	0	0	0	0	0	0	0	0
LINC01783	0	0	0	0	0	0	0	0	0	0	0
TRE-TTC4-1	0	0	0	0	0	0	0	0	0	0	0
LOC124903856	0	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-1	0	0	0	0	0	0	0	0	0	0	0
NBPF1	89	24	65	11	90	15	84	20	67	16	56
LOC124900584	124	30	91	26	138	21	89	36	107	16	104
CROCCP2	59	9	40	20	53	9	54	12	50	8	64
MST1P2	1184	202	789	223	895	180	723	232	783	181	682
RNU1-3	0	0	0	0	0	0	0	0	0	0	0
LOC124903857	0	0	0	0	0	0	0	0	0	0	0
TRG-CCC4-1	0	0	0	0	0	0	0	0	0	0	0
ESPNP	0	0	1	0	1	2	0	0	1	0	4
LOC124903858	0	1	0	0	0	0	0	0	1	0	4
TRG-CCC5-1	0	0	0	0	0	0	0	0	0	0	0
LOC124903859	1	2	0	0	3	2	4	0	0	0	0
RNU1-4	0	0	0	0	0	0	0	0	0	0	0
MST1L	19	6	17	7	12	2	8	0	16	1	17
MIR3675	0	0	0	0	0	0	0	0	0	0	0
TRG-CCC1-2	0	0	0	0	0	0	0	0	0	0	0
LOC112267871	0	0	0	0	0	0	0	0	0	0	0
TRE-TTC3-1	0	0	0	0	0	0	0	0	0	0	0
LOC105376805	0	0	0	0	0	0	0	0	0	0	0
TRN-GTT4-1	0	0	0	0	0	0	0	0	0	0	0
RNU1-2	0	0	0	0	0	0	0	0	0	0	0
CROCC	0	0	0	0	1	0	1	0	0	1	1
MFAP2	0	0	0	0	0	0	0	0	0	0	0
LOC105376806	0	0	0	0	0	0	0	0	0	0	0
